name, definition location, definition-adapting, calling-convention-adapting, scope-adapting, call-site-context-adapting, thunkizing, metaprogramming, nested invocations, correct classification, notes
XFRM_SKB_CB, extracted_programs/linux-6.2-rc2/include/net/xfrm.h:641:9, False, True, False, False, False, False, True, true, invoked on LHS/RHS of assignment statements
PUSH_STATE_GOTO, extracted_programs/perl-5.36.0/regexec.c:6115:9, False, False, False, True, False, False, False, true, expands to a long series of statements
RELAYFS_CHANNEL_VERSION, extracted_programs/linux-6.2-rc2/include/linux/relay.h:29:9, True, False, False, False, False, False, False, true, enum
DP_DS_PORT_HPD, extracted_programs/linux-6.2-rc2/include/drm/display/drm_dp.h:396:10, True, False, False, False, False, False, False, true, enum
INPUT_DEV_ID_ATTR, extracted_programs/linux-6.2-rc2/drivers/input/input.c:1499:9, False, False, False, True, False, True, False, true, token-pasting
UNOP_AUX_item_sv, extracted_programs/perl-5.36.0/op.h:202:11, False, False, False, True, True, False, True, true, side-effects in arguments and nested invocations
IPT_BASE_CTL, extracted_programs/linux-6.2-rc2/include/uapi/linux/netfilter_ipv4/ip_tables.h:134:9, False, False, False, False, False, False, True, true, also definition-adapting enum
MSG_IDLE_VCS6, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/gt/intel_gt_regs.h:912:9, False, False, False, True, False, False, False, false, definition-adapting; designated initializer; nested invocations
LOCK_CONTENDED, extracted_programs/linux-6.2-rc2/include/linux/lockdep.h:480:9, False, False, True, True, False, False, False, true, function-alias with unexpanded arguments
PCI_DEVICE_ID_INTEL_PORT_RIDGE, extracted_programs/linux-6.2-rc2/include/linux/pci_ids.h:2684:9, False, False, False, False, False, False, True, true, also definition-adapting enum
GT, extracted_programs/bash-5.2-rc1/expr.c:123:9, True, False, False, False, False, False, False, true, enum char constant
PUT_SINFO_U64, extracted_programs/linux-6.2-rc2/net/wireless/nl80211.c:6356:9, False, False, False, True, False, True, False, true, token-pasting; undefined at one point
COMP_LISTMATCH, extracted_programs/zsh-5.9/Src/Zle/compctl.c:58:9, True, False, False, False, False, False, False, true, enum
